    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   6  -0.250000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   6  -0.350000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   6  -0.450000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   6  -0.600000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   6  -0.850000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   7  -0.500000E-03  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   7  -0.150000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   7  -0.250000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   7  -0.350000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   7  -0.500000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   7  -0.700000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   7  -0.900000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   7  -0.125000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   7  -0.175000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   7  -0.250000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   7  -0.350000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   7  -0.450000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   7  -0.600000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   7  -0.850000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   8  -0.500000E-03  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   8  -0.150000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   8  -0.250000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   8  -0.350000E-02  0.600000E+00  0.000000E+00  0.000000E+00
